freelancer_id,hours_worked_per_week,experience_years,skills_count,average_rating,completed_projects,client_return_rate,hourly_rate,region,income_generated
1,43,10.2,1,3.87,21,0.18,15.97,Africa,1968.92
2,56,0.8,7,3.66,156,0.84,69.93,South America,13141.96
3,33,3.3,1,4.95,131,0.54,102.35,Asia,10847.34
4,19,4.1,17,4.25,23,0.71,64.09,Asia,3797.65
5,47,5.7,9,4.34,19,0.22,149.95,Europe,26877.23
6,12,1.6,13,4.78,50,0.71,37.35,South America,1459.8
7,25,1.1,11,4.49,186,0.91,11.11,South America,1135.34
8,43,1.2,6,4.14,20,0.27,36.62,Africa,4673.63
9,23,3.7,1,4.57,116,0.23,134.16,South America,12998.13
10,27,5.1,7,3.89,92,0.1,30.32,Oceania,2253.13
11,15,0.6,12,3.42,93,0.27,77.06,Africa,3344.31
12,15,1.4,19,4.91,83,0.54,68.7,South America,3073.02
13,28,7.0,17,3.93,53,0.83,103.2,Oceania,9846.65
14,57,4.9,4,4.05,123,0.28,17.64,Europe,3423.01
15,40,12.6,3,4.09,85,0.62,102.23,South America,14851.34
16,44,4.2,1,3.9,82,0.48,59.67,Europe,12228.33
17,28,1.5,18,4.75,9,0.29,139.65,South America,18005.51
18,7,2.7,15,4.39,4,0.51,128.84,South America,2877.72
19,26,3.2,8,4.05,169,0.17,65.93,North America,4391.74
20,57,0.2,1,3.56,25,0.64,149.0,Oceania,32807.82
21,6,2.4,14,4.35,34,0.12,17.27,South America,559.14
22,28,3.7,4,2.97,73,0.73,120.41,Europe,13892.6
23,48,0.5,5,4.32,137,0.18,70.74,Asia,10981.47
24,34,4.6,13,4.87,82,1.0,70.66,Europe,10221.58
25,42,2.6,15,4.23,141,0.82,33.82,Oceania,6393.71
26,6,9.1,6,4.8,137,0.34,82.08,South America,1727.88
27,25,0.1,1,3.59,4,0.43,21.86,Africa,1573.09
28,37,0.9,19,5.0,162,0.26,96.32,North America,13622.95
29,16,2.8,13,4.75,7,0.77,43.82,Africa,2154.88
30,26,1.1,6,4.44,15,0.38,111.48,North America,13301.62
31,48,3.8,15,3.9,38,0.76,95.03,North America,15510.1
32,29,4.3,16,3.82,91,0.02,114.5,Africa,8868.43
33,53,0.3,16,4.16,52,0.14,114.96,Oceania,26078.29
34,31,2.2,10,4.8,81,0.36,37.54,South America,3770.41
35,46,2.1,9,3.54,100,0.11,10.09,Europe,1517.78
36,32,1.4,9,4.21,7,0.6,61.21,Africa,7291.62
37,20,8.1,17,4.57,107,0.05,138.67,Asia,11115.01
38,19,5.3,17,4.66,45,0.86,90.91,North America,6643.74
39,51,3.6,17,4.57,59,0.76,111.85,Europe,22707.69
40,55,3.8,12,3.49,122,0.22,133.14,Asia,18981.56
41,48,1.9,13,4.77,21,0.48,136.85,Europe,23453.23
42,59,7.6,12,4.23,156,0.45,84.06,South America,16396.24
43,56,3.6,14,3.66,3,0.72,85.73,Asia,22951.73
44,7,3.9,10,4.19,142,0.4,129.13,Oceania,2367.49
45,41,5.9,19,3.22,2,0.03,123.05,Oceania,15911.52
46,55,1.0,2,4.49,29,0.27,107.84,Africa,27359.6
47,11,4.9,4,4.14,146,0.47,94.63,Europe,4936.52
48,25,0.7,19,3.56,37,0.97,96.41,Oceania,10422.6
49,13,1.3,7,4.05,173,0.88,60.81,Oceania,2331.74
50,43,1.2,15,3.85,45,0.18,127.73,Africa,20618.16
51,22,11.5,15,3.88,152,0.72,96.49,Africa,7101.36
52,8,5.8,6,3.07,120,0.94,41.29,Oceania,1228.52
53,29,3.6,3,3.36,46,0.01,43.58,Europe,2988.21
54,18,3.9,6,4.09,140,0.72,130.62,Europe,6529.42
55,54,2.5,16,4.0,53,0.46,97.6,North America,18985.8
56,13,8.8,2,4.69,45,0.68,65.82,North America,2496.92
57,30,2.1,7,3.88,32,0.61,36.19,Asia,4460.69
58,57,1.4,11,3.94,18,0.98,95.43,Asia,23928.03
59,6,0.5,7,3.96,13,0.29,35.8,Asia,717.61
60,24,4.6,4,4.1,132,0.79,75.82,North America,5921.32
61,32,4.0,7,4.25,23,0.23,104.85,Africa,15262.34
62,51,1.5,4,4.0,62,0.44,89.16,Oceania,12404.53
63,11,0.1,12,4.49,54,0.98,139.09,South America,4794.5
64,48,5.5,5,5.0,183,0.77,15.56,South America,2755.24
65,12,0.0,19,3.79,69,0.32,49.17,Oceania,1488.25
66,51,3.6,5,4.4,168,0.62,17.99,Europe,2453.79
67,39,10.5,19,4.21,14,0.05,37.24,North America,5152.84
68,18,1.7,3,4.72,98,0.27,27.36,Europe,2239.56
69,21,0.8,11,4.3,28,0.72,112.57,South America,10974.79
70,40,3.7,7,3.84,95,0.57,61.71,Europe,8746.49
71,54,5.1,17,3.62,71,0.47,139.51,North America,20315.86
72,44,2.4,9,4.51,67,0.69,13.27,North America,1388.09
73,8,10.2,9,3.66,157,0.4,101.41,North America,2674.26
74,6,0.2,10,4.79,100,0.03,145.88,South America,2442.43
75,10,2.1,13,4.48,61,0.44,34.62,North America,709.81
76,58,3.8,15,4.24,103,0.9,71.94,Asia,16975.44
77,46,6.0,5,3.54,196,0.86,108.26,Asia,18602.24
78,8,0.6,3,4.54,137,0.41,98.64,Oceania,2405.84
79,58,4.8,8,5.0,119,0.02,89.24,North America,21923.67
80,33,2.4,10,3.99,17,0.64,55.75,Asia,8138.08
81,22,1.5,13,3.83,49,0.74,111.95,North America,9316.76
82,30,0.4,3,4.15,191,0.29,101.46,South America,7948.06
83,48,6.0,8,4.43,78,0.48,32.79,Asia,7416.57
84,38,0.5,9,3.93,46,0.99,144.97,South America,22315.75
85,14,1.1,12,4.65,93,0.58,87.79,Asia,3858.23
86,40,1.0,11,5.0,121,0.35,83.56,Africa,13076.89
87,18,6.2,2,4.37,13,0.63,128.75,Africa,7460.16
88,35,3.4,18,4.04,45,0.18,99.66,Oceania,13925.49
89,52,4.8,9,4.42,181,0.2,20.43,Oceania,3829.73
90,19,0.9,2,4.79,17,0.92,80.92,Oceania,5435.51
91,12,2.9,2,4.28,47,0.24,119.28,South America,5947.59
92,18,2.5,3,4.44,62,0.31,108.0,Asia,7580.57
93,27,5.4,16,4.55,178,0.54,145.91,Africa,10160.12
94,44,7.1,19,3.76,43,0.9,13.49,North America,1446.69
95,25,0.0,4,4.43,68,0.78,46.57,Europe,3450.92
96,20,3.4,18,3.53,124,0.04,86.88,Africa,6066.5
97,49,0.2,18,3.87,109,0.69,96.73,Africa,14473.91
98,22,2.4,10,4.77,28,0.5,48.41,North America,4062.63
99,51,1.0,11,4.64,173,0.48,125.75,Africa,18414.42
100,57,1.1,17,4.06,169,0.69,33.01,Africa,7704.07
101,28,1.3,16,5.0,94,0.2,10.12,Africa,1307.02
102,30,2.9,13,3.54,118,0.98,143.33,Oceania,11596.73
103,29,1.2,2,4.1,164,0.65,64.82,Oceania,7570.93
104,49,4.0,2,4.34,91,0.37,144.05,Asia,33172.66
105,45,1.6,14,2.8,84,0.6,48.91,Oceania,6260.6
106,33,0.2,4,4.12,33,0.22,18.88,Africa,2910.49
107,19,4.6,17,3.64,25,0.63,118.15,Europe,8730.24
108,49,1.0,13,3.65,19,0.03,127.01,Oceania,24005.27
109,5,1.7,4,4.06,175,0.34,78.89,Asia,1205.38
